   BENCHMARK INFORMATION
benchmark definition:    benchmark-defs/veriabs.xml
name:                    veriabs
run sets:                SV-COMP24_unreach-call.Suite1-SVCOMP
date:                    Fri, 2025-06-27 20:00:13 UTC
tool:                    VeriAbs 1.5.1-2
tool executable:         /gps-ae/VeriAbs/scripts/veriabs
options:                 --sv22
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    ac8a6a12a11c
os:                      Linux-6.8.0-60-generic-x86_64-with-glibc2.39
cpu:                     13th Gen Intel Core i7-13700H
- cores:                 20
- max frequency:         4800.0 MHz
- turbo boost enabled:   True
ram:                     16421.941248 MB
------------------------------------------------------------



SV-COMP24_unreach-call.Suite1-SVCOMP
Run set 1 of 1 with options '--sv22' and propertyfile 'None'

inputfile                                                 status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------
loop-acceleration/const_1-1.yml                           true                             6.96        2.64        None
loop-acceleration/const_1-2.yml                           TIMEOUT                        226.03      201.01        None
loop-acceleration/const_1-2_abstracted.yml                false(unreach-call)              6.91        2.51        None
loop-acceleration/diamond_1-1.yml                         true                             9.44        3.58        None
loop-acceleration/diamond_1-2.yml                         false(unreach-call)             29.32       18.58        None
loop-acceleration/diamond_2-2.yml                         true                            13.31        6.76        None
loop-acceleration/functions_1-1.yml                       true                             7.28        2.74        None
loop-acceleration/functions_1-2.yml                       unknown                         19.94       11.73        None
loop-acceleration/multivar_1-1.yml                        true                             7.21        2.75        None
loop-acceleration/multivar_1-2.yml                        false(unreach-call)              9.15        3.41        None
loop-acceleration/nested_1-1.yml                          true                             6.91        2.56        None
loop-acceleration/nested_1-2.yml                          false(unreach-call)              7.17        2.71        None
loop-acceleration/overflow_1-1.yml                        true                             7.48        2.83        None
loop-acceleration/phases_1-1.yml                          true                           114.04      155.72        None
loop-acceleration/phases_1-2.yml                          TIMEOUT                        177.46      201.12        None
loop-acceleration/phases_2-1.yml                          false(unreach-call)              6.84        2.62        None
loop-acceleration/simple_1-1.yml                          TIMEOUT                        224.92      201.01        None
loop-acceleration/simple_1-1_abstracted.yml               false(unreach-call)              6.72        2.45        None
loop-acceleration/simple_1-2.yml                          true                             7.14        2.75        None
loop-acceleration/simple_1-2_abstracted.yml               true                             6.77        2.50        None
loop-acceleration/simple_2-1.yml                          true                             6.69        2.47        None
loop-acceleration/simple_2-1_abstracted.yml               true                             7.00        2.57        None
loop-acceleration/simple_2-2.yml                          false(unreach-call)              9.23        3.44        None
loop-acceleration/simple_3-1.yml                          false(unreach-call)            161.65      154.44        None
loop-acceleration/simple_3-2.yml                          true                             7.10        2.70        None
