   BENCHMARK INFORMATION
gps
benchmark definition:    benchmark-defs/gps.xml
name:                    gps
run sets:                SV-COMP24_unreach-call.Suite1-SVCOMP
date:                    Fri, 2025-06-27 04:53:50 UTC
tool:                    gps
tool executable:         /gps-ae/duet-gps/duet.exe
options:                 -monotone -cra-split-loops -gps-gas
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             6
hardware requirements:
- cpu cores:             6
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    ac8a6a12a11c
os:                      Linux-6.8.0-60-generic-x86_64-with-glibc2.39
cpu:                     13th Gen Intel Core i7-13700H
- cores:                 20
- max frequency:         4800.0 MHz
- turbo boost enabled:   True
ram:                     16421.941248 MB
------------------------------------------------------------



SV-COMP24_unreach-call.Suite1-SVCOMP
Run set 1 of 1 with options '-monotone -cra-split-loops -gps-gas' and propertyfile 'None'

inputfile                                                 status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------
loop-acceleration/const_1-1.yml                           true                             0.13        0.12        None
loop-acceleration/const_1-2.yml                           false                            0.29        0.29        None
loop-acceleration/const_1-2_abstracted.yml                false                            0.14        0.13        None
loop-acceleration/diamond_1-1.yml                         true                             0.15        0.13        None
loop-acceleration/diamond_1-2.yml                         false                            0.16        0.16        None
loop-acceleration/diamond_2-2.yml                         true                             0.36        0.36        None
loop-acceleration/functions_1-1.yml                       true                             0.25        0.21        None
loop-acceleration/functions_1-2.yml                       KILLED                          74.13       74.17        None
loop-acceleration/multivar_1-1.yml                        true                             0.14        0.19        None
loop-acceleration/multivar_1-2.yml                        false                            0.15        0.14        None
loop-acceleration/nested_1-1.yml                          true                             0.14        0.13        None
loop-acceleration/nested_1-2.yml                          KILLED                         242.32      242.35        None
loop-acceleration/overflow_1-1.yml                        true                             0.14        0.14        None
loop-acceleration/phases_1-1.yml                          true                             0.15        0.14        None
loop-acceleration/phases_1-2.yml                          false                            0.16        0.15        None
loop-acceleration/phases_2-1.yml                          false                            0.22        0.22        None
loop-acceleration/simple_1-1.yml                          false                            0.14        0.13        None
loop-acceleration/simple_1-1_abstracted.yml               false                            0.14        0.14        None
loop-acceleration/simple_1-2.yml                          true                             0.13        0.13        None
loop-acceleration/simple_1-2_abstracted.yml               true                             0.13        0.12        None
loop-acceleration/simple_2-1.yml                          true                             0.13        0.13        None
loop-acceleration/simple_2-1_abstracted.yml               true                             0.13        0.13        None
loop-acceleration/simple_2-2.yml                          false                            0.14        0.13        None
loop-acceleration/simple_3-1.yml                          false                            0.26        0.22        None
loop-acceleration/simple_3-2.yml                          true                             0.23        0.21        None
loop-acceleration/simple_4-1.yml                          false                            0.14        0.13        None
